Image ID,RGB,Hue,SortColor,geometry,centroid,latitude,longitude,ZipCode,LandUse,OwnerType,YearBuilt,YearBin,SVI_ID,SortYear
582,"(130, 126, 133)",194,519,"POLYGON ((-73.94336169207729 40.82291388705217, -73.94336169207729 40.82363306037666, -73.94408086540177 40.82363306037666, -73.94408086540177 40.82291388705217, -73.94336169207729 40.82291388705217))",POINT (-73.94372127873955 40.823273473714416),40.823273473714416,-73.94372127873955,10030,1.0,,1901,1,582,83
136,"(146, 147, 145)",63,398,"POLYGON ((-73.95918350521593 40.812845460509294, -73.95918350521593 40.813564633833785, -73.95990267854042 40.813564633833785, -73.95990267854042 40.812845460509294, -73.95918350521593 40.812845460509294))",POINT (-73.95954309187817 40.813205047171536),40.813205047171536,-73.95954309187817,10027,2.0,,1901,1,136,84
72,"(226, 225, 221)",34,611,"POLYGON ((-73.96134102518938 40.80853042056235, -73.96134102518938 40.80924959388684, -73.96206019851387 40.80924959388684, -73.96206019851387 40.80853042056235, -73.96134102518938 40.80853042056235))",POINT (-73.96170061185163 40.80889000722459),40.80889000722459,-73.96170061185163,10027,8.0,X,1901,1,72,85
394,"(121, 127, 121)",85,177,"POLYGON ((-73.95127259864661 40.828667273648094, -73.95127259864661 40.829386446972585, -73.9519917719711 40.829386446972585, -73.9519917719711 40.828667273648094, -73.95127259864661 40.828667273648094))",POINT (-73.95163218530885 40.829026860310336),40.829026860310336,-73.95163218530885,10031,2.0,,1901,1,394,86
558,"(123, 120, 127)",188,322,"POLYGON ((-73.94480003872626 40.82435223370115, -73.94480003872626 40.82507140702564, -73.94551921205074 40.82507140702564, -73.94551921205074 40.82435223370115, -73.94480003872626 40.82435223370115))",POINT (-73.9451596253885 40.8247118203634),40.8247118203634,-73.9451596253885,10031,1.0,,1901,1,558,87
346,"(101, 99, 90)",34,34,"POLYGON ((-73.9519917719711 40.8121262871848, -73.9519917719711 40.812845460509294, -73.95271094529558 40.812845460509294, -73.95271094529558 40.8121262871848, -73.9519917719711 40.8121262871848))",POINT (-73.95235135863334 40.81248587384705),40.81248587384705,-73.95235135863334,10027,2.0,,1901,1,346,88
305,"(142, 142, 136)",42,405,"POLYGON ((-73.95343011862006 40.81644132713175, -73.95343011862006 40.81716050045624, -73.95414929194455 40.81716050045624, -73.95414929194455 40.81644132713175, -73.95343011862006 40.81644132713175))",POINT (-73.9537897052823 40.816800913794),40.816800913794,-73.9537897052823,10027,4.0,,1901,1,305,89
612,"(123, 132, 145)",152,499,"POLYGON ((-73.94120417210384 40.830105620297076, -73.94120417210384 40.83082479362157, -73.94192334542832 40.83082479362157, -73.94192334542832 40.830105620297076, -73.94120417210384 40.830105620297076))",POINT (-73.94156375876608 40.83046520695932),40.83046520695932,-73.94156375876608,10032,2.0,,1901,1,612,90
372,"(82, 82, 69)",42,584,"POLYGON ((-73.95127259864661 40.8121262871848, -73.95127259864661 40.812845460509294, -73.9519917719711 40.812845460509294, -73.9519917719711 40.8121262871848, -73.95127259864661 40.8121262871848))",POINT (-73.95163218530885 40.81248587384705),40.81248587384705,-73.95163218530885,10027,2.0,X,1901,1,372,91
253,"(125, 123, 120)",25,203,"POLYGON ((-73.95558763859351 40.822194713727676, -73.95558763859351 40.82291388705217, -73.956306811918 40.82291388705217, -73.956306811918 40.822194713727676, -73.95558763859351 40.822194713727676))",POINT (-73.95594722525576 40.82255430038992),40.82255430038992,-73.95594722525576,10031,3.0,,1904,1,253,92
222,"(100, 104, 102)",106,288,"POLYGON ((-73.956306811918 40.813564633833785, -73.956306811918 40.814283807158276, -73.95702598524248 40.814283807158276, -73.95702598524248 40.813564633833785, -73.956306811918 40.813564633833785))",POINT (-73.95666639858024 40.813924220496034),40.813924220496034,-73.95666639858024,10027,4.0,,1904,1,222,93
408,"(152, 137, 135)",4,443,"POLYGON ((-73.95055342532213 40.821475540403185, -73.95055342532213 40.822194713727676, -73.95127259864661 40.822194713727676, -73.95127259864661 40.821475540403185, -73.95055342532213 40.821475540403185))",POINT (-73.95091301198437 40.82183512706542),40.82183512706542,-73.95091301198437,10031,2.0,,1905,1,408,94
355,"(117, 117, 114)",42,125,"POLYGON ((-73.9519917719711 40.81859884710522, -73.9519917719711 40.81931802042971, -73.95271094529558 40.81931802042971, -73.95271094529558 40.81859884710522, -73.9519917719711 40.81859884710522))",POINT (-73.95235135863334 40.818958433767456),40.818958433767456,-73.95235135863334,10031,4.0,,1905,1,355,95
407,"(130, 138, 151)",153,342,"POLYGON ((-73.95055342532213 40.820756367078694, -73.95055342532213 40.821475540403185, -73.95127259864661 40.821475540403185, -73.95127259864661 40.820756367078694, -73.95055342532213 40.820756367078694))",POINT (-73.95091301198437 40.82111595374094),40.82111595374094,-73.95091301198437,10031,3.0,,1905,1,407,96
251,"(113, 103, 99)",12,79,"POLYGON ((-73.95558763859351 40.820756367078694, -73.95558763859351 40.821475540403185, -73.956306811918 40.821475540403185, -73.956306811918 40.820756367078694, -73.95558763859351 40.820756367078694))",POINT (-73.95594722525576 40.82111595374094),40.82111595374094,-73.95594722525576,10031,2.0,,1905,1,251,97
208,"(131, 128, 122)",28,218,"POLYGON ((-73.95702598524248 40.81787967378073, -73.95702598524248 40.81859884710522, -73.95774515856696 40.81859884710522, -73.95774515856696 40.81787967378073, -73.95702598524248 40.81787967378073))",POINT (-73.95738557190472 40.81823926044298),40.81823926044298,-73.95738557190472,10027,2.0,,1905,1,208,98
199,"(113, 106, 91)",28,56,"POLYGON ((-73.95702598524248 40.81140711386031, -73.95702598524248 40.8121262871848, -73.95774515856696 40.8121262871848, -73.95774515856696 40.81140711386031, -73.95702598524248 40.81140711386031))",POINT (-73.95738557190472 40.81176670052255),40.81176670052255,-73.95738557190472,10027,4.0,,1905,1,199,99
306,"(105, 90, 97)",235,598,"POLYGON ((-73.95343011862006 40.81716050045624, -73.95343011862006 40.81787967378073, -73.95414929194455 40.81787967378073, -73.95414929194455 40.81716050045624, -73.95343011862006 40.81716050045624))",POINT (-73.9537897052823 40.81752008711849),40.81752008711849,-73.9537897052823,10031,4.0,,1905,1,306,100
